Feature,Definition,CURIE,OMOP,A4,ABVIB,ADNI,AIBL,ANM,ARWIBO,BRACE,C-Surv,DOD-ADNI,EDSD,EMIF,EPAD,I-ADNI,JADNI,NACC,NEURO Cohort,OASIS,PREVENT-AD,PharmaCog,ROSMAP,VASCULAR,VITA,WMH-AD,AMED
Right Parsopercularis Area,,,,,,ST104SA,,,rh_parsopercularis_area,,,ST104SA,rh_parsopercularis_area,,,rh_parsopercularis_area,rh_(parsopercularis)SurfArea,,,rh_parsopercularis_area,,rh_parsopercularis_area,,,rh_parsopercularis_area,rh_parsopercularis_area,
Right Parsorbitalis Area,,,,,,ST105SA,,,rh_parsorbitalis_area,,,ST105SA,rh_parsorbitalis_area,,,rh_parsorbitalis_area,rh_(parsorbitalis)SurfArea,,,rh_parsorbitalis_area,,rh_parsorbitalis_area,,,rh_parsorbitalis_area,rh_parsorbitalis_area,
Right Parstriangularis Area,,,,,,ST106SA,,,rh_parstriangularis_area,,,ST106SA,rh_parstriangularis_area,,,rh_parstriangularis_area,rh_(parstriangularis)SurfArea,,,rh_parstriangularis_area,,rh_parstriangularis_area,,,rh_parstriangularis_area,rh_parstriangularis_area,
Right Pericalcarine Area,,,,,,ST107SA,,,rh_pericalcarine_area,,,ST107SA,rh_pericalcarine_area,,,rh_pericalcarine_area,rh_(pericalcarine)SurfArea,,,rh_pericalcarine_area,,rh_pericalcarine_area,,,rh_pericalcarine_area,rh_pericalcarine_area,
Right Postcentral Area,,,,,,ST108SA,,,rh_postcentral_area,,,ST108SA,rh_postcentral_area,,,rh_postcentral_area,rh_(postcentral)SurfArea,,,rh_postcentral_area,,rh_postcentral_area,,,rh_postcentral_area,rh_postcentral_area,
Right Posterior Cingulate Area,,,,,,ST109SA,,,rh_posteriorcingulate_area,,,ST109SA,rh_posteriorcingulate_area,,,rh_posteriorcingulate_area,rh_(posteriorcingulate)SurfArea,,,rh_posteriorcingulate_area,,rh_posteriorcingulate_area,,,rh_posteriorcingulate_area,rh_posteriorcingulate_area,
Right Precentral Area,,,,,,ST110SA,,,rh_precentral_area,,,ST110SA,rh_precentral_area,,,rh_precentral_area,rh_(precentral)SurfArea,,,rh_precentral_area,,rh_precentral_area,,,rh_precentral_area,rh_precentral_area,
Right Precuneus Area,,,,,,ST111SA,,,rh_precuneus_area,,,ST111SA,rh_precuneus_area,,,rh_precuneus_area,rh_(precuneus)SurfArea,,,rh_precuneus_area,,rh_precuneus_area,,,rh_precuneus_area,rh_precuneus_area,
Right Rostralanteriorcingulate Area,,,,,,ST113SA,,,rh_rostralanteriorcingulate_area,,,ST113SA,rh_rostralanteriorcingulate_area,,,rh_rostralanteriorcingulate_area,rh_(rostralanteriorcingulate)SurfArea,,,rh_rostralanteriorcingulate_area,,rh_rostralanteriorcingulate_area,,,rh_rostralanteriorcingulate_area,rh_rostralanteriorcingulate_area,
Right Rostralmiddlefrontal Area,,,,,,ST114SA,,,rh_rostralmiddlefrontal_area,,,ST114SA,rh_rostralmiddlefrontal_area,,,rh_rostralmiddlefrontal_area,rh_(rostralmiddlefrontal)SurfArea,,,rh_rostralmiddlefrontal_area,,rh_rostralmiddlefrontal_area,,,rh_rostralmiddlefrontal_area,rh_rostralmiddlefrontal_area,
